model,scenario,alpha,ppl_wikitext
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.0,6.9299
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.1,6.6878
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.2,6.5822
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.3,6.5189
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.4,6.5028
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.5,6.4855
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.0,6.9299
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.1,6.6878
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.2,6.5822
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.3,6.5189
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.4,6.5028
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.5,6.4855
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.6,6.4829
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.7,6.5018
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.8,6.5193
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),0.9,6.5736
Qwen/Qwen2.5-7B,SQ+INT4 (W4A16),1.0,6.6729
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.0,11.1537
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.1,8.9847
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.2,7.9455
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.3,7.4842
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.4,7.2373
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.5,7.1004
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.6,7.0256
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.7,7.0106
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.8,7.0125
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),0.9,7.0971
Qwen/Qwen2.5-7B,SQ+INT4 (W4A4),1.0,7.2773
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.0,6.8497
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.1,6.8017
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.2,6.8159
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.3,6.7786
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.0,6.8497
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.1,6.8017
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.2,6.8159
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.3,6.7786
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.4,6.7325
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.0,6.8497
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.1,6.8017
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.2,6.8159
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.3,6.7786
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.4,6.7325
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.5,6.749
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.6,6.808
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.7,6.7407
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.8,6.7868
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),0.9,6.8242
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A16),1.0,6.8879
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.0,9.7444
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.1,8.9046
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.2,8.3632
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.3,7.9513
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.4,7.703
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.5,7.5988
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.6,7.5972
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.7,7.4633
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.8,7.4861
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),0.9,7.5632
Qwen/Qwen2.5-7B,SQ+MXFP4 (W4A4),1.0,7.643
