model,scenario,alpha,ppl_wikitext
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.0,7.8947
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.1,7.8235
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.2,7.7751
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.3,7.8254
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.4,7.7751
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.5,7.7077
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.6,7.7729
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.7,7.7757
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.8,7.7858
Qwen/Qwen3-14B,SQ+INT4 (W4A16),0.9,7.8637
Qwen/Qwen3-14B,SQ+INT4 (W4A16),1.0,7.985
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.0,9.9327
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.1,9.0626
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.2,8.6103
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.3,8.4859
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.4,8.3101
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.5,8.1202
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.6,8.1331
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.7,8.0953
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.8,8.1011
Qwen/Qwen3-14B,SQ+INT4 (W4A4),0.9,8.1698
Qwen/Qwen3-14B,SQ+INT4 (W4A4),1.0,8.3499
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.0,7.9431
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.1,8.0398
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.2,7.9811
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.3,7.9382
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.4,8.0508
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.5,7.8686
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.6,8.0281
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.7,7.9285
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.8,8.1658
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),0.9,8.0208
Qwen/Qwen3-14B,SQ+MXFP4 (W4A16),1.0,8.1169
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.0,9.2344
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.1,8.9994
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.2,8.7545
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.3,8.5649
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.4,8.5988
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.5,8.3008
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.6,8.4933
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.7,8.3108
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.8,8.5602
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),0.9,8.4049
Qwen/Qwen3-14B,SQ+MXFP4 (W4A4),1.0,8.6118
