model,scenario,alpha,ppl_wikitext
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.0,197.6969
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.1,5.9269
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.2,5.4976
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.3,5.4438
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.4,5.3893
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.5,5.3639
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.6,5.3534
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.7,5.3459
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.8,5.3604
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),0.9,5.396
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A16),1.0,5.4546
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.0,6864.1494
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.1,7.0282
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.2,6.0855
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.3,5.9189
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.4,5.7604
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.5,5.6866
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.6,5.6444
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.7,5.6241
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.8,5.6414
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),0.9,5.695
meta-llama/Llama-2-7b-hf,SQ+INT4 (W4A4),1.0,5.7855
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.0,6.5218
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.1,5.5778
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.0,6.5218
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.1,5.5778
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.2,5.472
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.3,5.491
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.4,5.495
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.5,5.4675
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.6,5.4117
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.7,5.4419
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.8,5.4655
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),0.9,5.4435
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A16),1.0,5.4846
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.0,8.9014
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.1,6.5063
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.2,6.1241
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.3,6.0272
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.4,5.9706
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.5,5.9253
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.6,5.8242
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.7,5.856
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.8,5.9112
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),0.9,5.8995
meta-llama/Llama-2-7b-hf,SQ+MXFP4 (W4A4),1.0,5.9914
