model,scenario,alpha,ppl_wikitext
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.0,40.5438
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.1,6.5555
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.2,6.3378
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.3,6.2341
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.4,6.1788
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.5,6.1595
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.6,6.17
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.7,6.2082
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.8,6.2874
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),0.9,6.4667
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A16),1.0,6.8839
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.0,165.826
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.1,9.0306
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.2,7.7839
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.3,7.3489
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.4,7.0961
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.5,6.9807
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.6,6.9492
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.7,6.9645
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.8,7.0685
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),0.9,7.3333
meta-llama/Llama-3.1-8B,SQ+INT4 (W4A4),1.0,8.0921
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.0,10.9045
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.1,6.3834
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.2,6.3092
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.3,6.2569
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.4,6.2448
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.5,6.2581
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.6,6.2645
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.7,6.2741
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.8,6.3005
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),0.9,6.2848
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A16),1.0,6.319
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.0,20.5769
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.1,8.338
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.2,7.884
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.3,7.5522
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.4,7.3362
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.5,7.2676
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.6,7.2167
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.7,7.2057
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.8,7.1939
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),0.9,7.2266
meta-llama/Llama-3.1-8B,SQ+MXFP4 (W4A4),1.0,7.3344
