layer,proj,N,K,sqnr_unfused,sqnr_fused,t_fused_us,t_baseline_us,speedup
0,q_proj,2048,2048,16.78,16.79,91.91,818.64,8.91
0,k_proj,512,2048,16.96,16.94,91.71,279.05,3.04
0,v_proj,512,2048,17.03,17.02,92.05,279.24,3.03
0,o_proj,2048,2048,17.01,17.02,92.06,827.53,8.99
1,q_proj,2048,2048,16.87,16.89,92.59,821.31,8.87
1,k_proj,512,2048,16.77,16.8,91.71,283.86,3.1
1,v_proj,512,2048,17.06,17.06,91.8,283.38,3.09
1,o_proj,2048,2048,17.1,17.11,91.9,828.13,9.01
7,q_proj,2048,2048,17.04,17.07,92.18,822.84,8.93
7,k_proj,512,2048,17.0,16.98,91.76,277.45,3.02
7,v_proj,512,2048,17.04,17.02,91.83,277.82,3.03
7,o_proj,2048,2048,17.08,17.08,92.52,823.33,8.9
8,q_proj,2048,2048,16.57,16.56,92.09,862.11,9.36
8,k_proj,512,2048,16.95,16.96,91.59,293.89,3.21
8,v_proj,512,2048,16.82,16.83,91.72,278.94,3.04
8,o_proj,2048,2048,16.96,16.97,92.62,821.06,8.86
14,q_proj,2048,2048,17.13,17.12,92.57,840.45,9.08
14,k_proj,512,2048,16.51,16.54,91.8,277.46,3.02
14,v_proj,512,2048,16.75,16.76,91.8,279.74,3.05
14,o_proj,2048,2048,17.21,17.22,92.16,821.69,8.92
15,q_proj,2048,2048,17.09,17.09,92.56,821.2,8.87
15,k_proj,512,2048,16.87,16.86,91.74,276.35,3.01
15,v_proj,512,2048,16.5,16.51,91.67,277.37,3.03
15,o_proj,2048,2048,17.14,17.15,92.43,842.38,9.11
