model,scenario,alpha,ppl_wikitext
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.0,22.2349
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.1,21.4864
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.2,21.4402
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.3,22.1021
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.4,21.4702
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.5,21.3392
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.6,21.5513
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.7,21.6704
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.8,21.8547
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),0.9,22.6741
Qwen/Qwen3-0.6B,SQ+INT4 (W4A16),1.0,23.1569
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.0,45.0343
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.1,36.7332
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.2,34.8516
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.3,35.5824
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.4,32.5157
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.5,30.4696
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.6,30.3496
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.7,29.9345
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.8,31.023
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),0.9,32.9662
Qwen/Qwen3-0.6B,SQ+INT4 (W4A4),1.0,33.7498
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.0,22.7609
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.1,22.0675
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.2,21.5809
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.3,21.6684
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.4,22.0524
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.5,22.3558
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.6,21.9035
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.7,23.6046
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.8,21.8642
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),0.9,22.2909
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A16),1.0,21.0921
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.0,47.6263
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.1,40.3503
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.2,35.7216
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.3,32.5056
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.4,32.5485
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.5,31.5006
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.6,30.1232
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.7,31.9825
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.8,29.3145
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),0.9,30.1164
Qwen/Qwen3-0.6B,SQ+MXFP4 (W4A4),1.0,27.9127
