model,scenario,alpha,ppl_wikitext
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.0,11.3997
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.1,11.0929
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.2,10.8209
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.3,10.6768
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.4,10.4933
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.5,10.4458
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.6,10.5101
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.7,10.5858
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.8,10.697
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),0.9,10.931
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A16),1.0,11.3725
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.0,28.9051
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.1,20.4488
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.2,16.7518
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.3,15.1242
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.4,13.9349
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.5,13.3923
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.6,13.2671
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.7,13.3219
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.8,13.4534
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),0.9,13.8968
meta-llama/Llama-3.2-1B,SQ+INT4 (W4A4),1.0,14.8807
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.0,10.6552
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.1,10.6192
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.2,10.5598
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.3,10.5845
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.4,10.4748
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.5,10.5077
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.6,10.57
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.7,10.5477
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.8,10.5568
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),0.9,10.5237
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A16),1.0,10.6726
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.0,23.391
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.1,18.8569
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.2,17.0487
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.3,15.9196
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.4,14.8091
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.5,14.4681
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.6,14.2357
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.7,14.1165
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.8,14.2436
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),0.9,14.3396
meta-llama/Llama-3.2-1B,SQ+MXFP4 (W4A4),1.0,14.9408
